08-21-2026 14:09:48 RAM 1017/15389MB (lfb 3178x4MB) SWAP 0/7694MB (cached 0MB) CPU [0%@729,0%@729,9%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% GR3D2_FREQ 0%@0 CV0@53.968C CPU@56.687C SOC2@55.125C SOC0@55.937C CV1@54.093C GPU@54.718C tj@57.593C SOC1@57.593C CV2@54.406C
08-21-2026 14:09:48 RAM 1017/15389MB (lfb 3178x4MB) SWAP 0/7694MB (cached 0MB) CPU [0%@729,9%@1984,0%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% GR3D2_FREQ 0%@0 CV0@54.031C CPU@56.781C SOC2@55.187C SOC0@56.062C CV1@53.968C GPU@54.5C tj@57.625C SOC1@57.625C CV2@54.406C
08-21-2026 14:09:48 RAM 1017/15389MB (lfb 3178x4MB) SWAP 0/7694MB (cached 0MB) CPU [0%@1984,0%@1984,0%@1984,8%@1984,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% GR3D2_FREQ 0%@0 CV0@54C CPU@56.75C SOC2@55.062C SOC0@56.125C CV1@54.031C GPU@54.375C tj@57.843C SOC1@57.843C CV2@54.406C
08-21-2026 14:09:48 RAM 1017/15389MB (lfb 3178x4MB) SWAP 0/7694MB (cached 0MB) CPU [0%@1984,0%@1984,0%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% GR3D2_FREQ 0%@0 CV0@53.875C CPU@56.718C SOC2@55C SOC0@56.062C CV1@54C GPU@54.437C tj@57.5C SOC1@57.5C CV2@54.343C
08-21-2026 14:09:48 RAM 1018/15389MB (lfb 3178x4MB) SWAP 0/7694MB (cached 0MB) CPU [18%@1984,0%@1984,0%@1984,0%@1984,0%@729,0%@729,9%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% GR3D2_FREQ 0%@0 CV0@53.875C CPU@56.687C SOC2@55.093C SOC0@56.031C CV1@54.062C GPU@54.625C tj@57.593C SOC1@57.593C CV2@54.406C
08-21-2026 14:09:48 RAM 1018/15389MB (lfb 3178x4MB) SWAP 0/7694MB (cached 0MB) CPU [0%@1984,0%@1984,0%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% GR3D2_FREQ 0%@0 CV0@53.937C CPU@56.718C SOC2@55.031C SOC0@56.125C CV1@54.062C GPU@54.437C tj@57.562C SOC1@57.562C CV2@54.437C
08-21-2026 14:09:48 RAM 1018/15389MB (lfb 3178x4MB) SWAP 0/7694MB (cached 0MB) CPU [9%@1984,0%@1984,9%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% GR3D2_FREQ 0%@0 CV0@54C CPU@56.781C SOC2@55.062C SOC0@55.968C CV1@53.968C GPU@54.437C tj@57.562C SOC1@57.625C CV2@54.281C
08-21-2026 14:09:48 RAM 1018/15389MB (lfb 3178x4MB) SWAP 0/7694MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,9%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% GR3D2_FREQ 0%@0 CV0@54C CPU@56.781C SOC2@55.093C SOC0@55.968C CV1@54.031C GPU@54.562C tj@57.593C SOC1@57.593C CV2@54.218C
08-21-2026 14:09:48 RAM 1018/15389MB (lfb 3178x4MB) SWAP 0/7694MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% GR3D2_FREQ 0%@0 CV0@54.062C CPU@56.812C SOC2@54.968C SOC0@55.937C CV1@54.062C GPU@54.343C tj@57.5C SOC1@57.5C CV2@54.218C
08-21-2026 14:09:48 RAM 1018/15389MB (lfb 3178x4MB) SWAP 0/7694MB (cached 0MB) CPU [10%@729,0%@729,0%@729,9%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% GR3D2_FREQ 0%@0 CV0@54.031C CPU@56.843C SOC2@55.062C SOC0@55.906C CV1@54.093C GPU@54.437C tj@57.531C SOC1@57.531C CV2@54.312C
